id,worry_wave1,chosen_emotion_wave1,anger_wave1,disgust_wave1,fear_wave1,anxiety_wave1,sadness_wave1,happiness_wave1,relaxation_wave1,desire_wave1,text_long_wave1,worry_wave2,chosen_emotion_wave2,anger_wave2,disgust_wave2,fear_wave2,anxiety_wave2,sadness_wave2,happiness_wave2,relaxation_wave2,desire_wave2,text_long_wave2
1,6,Anxiety,2,2,5,5,5,4,4,4,"I am more worried about getting access to my normal healthcare at  the moment, than being concerned about Corona. My usual treatments have been halted, so my health will deteriorate even if I don't catch the virus!
I am struggling to get routine prescriptions and medical appointments, which is making me feel powerless and anxious.
I am also feeling very sad, as I can not see my children and grandchildren and can not celebrate birthdays and anniversaries with them.
I have been advised to stay inside my house for twelve weeks. The thought of this is making me unhappy, as all that I want to do is to go outside for a walk, but that is not possible right now.",6,Anxiety,4,4,6,6,8,5,5,5,"I am hopeful that the vaccine will help to bring back normality, but I am also worried that sending children back to school next week will start another wave of the virus, as numbers of infected people are still quite high.
I hope that I can see my family again soon. It has been a tough year for us all. Five loved ones have died, and a new baby has been born. We have not been able to either mourn the loses or celebrate the new baby. It has been a time of mixed emotions for us all and we need to know that we can come together some time soon to support each other."
2,6,Relaxation,1,1,1,2,2,5,6,4,"I am a little concerned that so many people are not staying at home and risking themselves and others just to enjoy the sunshine. I think the situation will get worse of the next few weeks but, hopefully, will then start to slowly improve. I'm worried what state the country will be left in as so many businesses will close down and the way we live in this country will be changed forever. So many small businesses and self-employed workers will struggle to survive. I am hopeful that a vaccine will be developed before the end of the year.",4,Relaxation,1,1,1,2,3,6,7,4,"Over the past twelve months, there has been little to look forward to with the constant lockdowns and other restrictions. At the moment, I think the current situation is starting to look better than it has for the last twelve months. Now that more and more people are being vaccinated, the infection rates and deaths are starting to fall rapidly. I think that provided that people respect the rules for a few more months then, hopefully, life can start getting back to something like normal later this year."
3,3,Relaxation,2,1,2,2,4,6,8,7,"I feel relaxed. I'm aware of the risks and I'm doing my very best to mitigate against them & I'm also pleased to see others in my local community doing the same. I feel positive about the future & about life going forward from this point. I find it hard to conceive of the disease touching me personally, yet I know there is every chance that it will. I have concern for older relatives, particularly my mother, and for other people I know in the community. I'm trying to remain positive and look ahead to the end of the lockdown period whenever that may be.",4,Relaxation,2,2,3,3,5,5,6,2,"I feel the Corona situation is getting better, however I also feel it has been badly mismanaged by the government. I feel saddened at the amount of avoidable deaths that have occurred because we didn't lockdown soon enough on 3 occasions, I feel angry at the way the government has tried to blame people for behaving badly when they made the biggest mistakes. I feel like the recovery will hit the poorest hardest and that will be incredibly unfair. Once the situation has been improved, I suspect the NHS will once again be left to fend for itself and won't be funded to the degree that is necessary. I suspect that the government will seize the opportunity to impose more austerity on the population."
4,5,Anxiety,2,2,2,4,2,3,3,1,"I feel a little stressed by it all, I would like to go outside and have my freedom back and just do normal things again. The issue of grocery shopping is a stress too, as it is almost impossible to get a delivery slot, so I may need to go to the supermarket, which is not exactly in keeping with the lockdown and social distancing.
It feels a little claustrophobic at times being stuck indoors.
I feel that it will take a lot longer than most people think to get back to normal, with a longer lockdown than anticipated.",4,Sadness,2,1,1,1,4,1,2,1,"I am quite tired of it by now, it has been over a year and still we aren't back to normal. I just want things back to how they were, with being able to go where you wanted, when you wanted and without having to wear or see masks everywhere I go. I am no longer feeling tolerant about it. I am also quite sceptical that the vaccine will enable us to get back to normal, I think the government will be too slow and I am not a fan of vaccine passports either as I think this will limit a lot of people in doing the things that they want to do, or travelling where they want."
5,5,Relaxation,3,1,4,2,3,7,7,2,"I am fed up about not being able to go out when I want, I miss going to the shops and seeing other people.  I don't like schooling my child from home as it takes up time that I could be doing other things.  But it is good to be able to spend more time with my child and my husband.  I miss being able to go out for dinner.  Its annoying that we do not know how long this is going to last and I am worried that my holiday may get cancelled, as, as a family we have all been looking forward to it since last year, ",3,Relaxation,1,1,1,1,1,8,9,5,"Okay, bored and fed up of not being able to do as much as usual, like go shopping and out for meals, go out for the day with my family. Unhappy that we can see more of my friends and family,  am missing having less people to talk to.  Happy that me and my family are all well and feeling healthy. Also I am fed up with homeschooling my child, as I have to work at the same time and this can be quite stressful. But looking forward to getting back to normal life later in the year.  I managing each day as it comes and keep busy at home.  "
6,9,Sadness,4,1,9,9,9,1,1,1,"At this very moment, I am feeling very fearful and sad about the Corona situation. I am afraid of contracting the virus and fear for my health and the health of my family. I am also very worried and anxious about the financial impact the situation will cause now and in the future. I'm feeling sad about the loss of life and about life coming to a standstill. I miss my family and friends keeping in touch by text and video call just isn't the same, I'm upset that I can't give them a hug. I also feel very helpless as I can't really do much to help anyone or the situation.",7,Desire,1,1,2,3,2,6,6,7,At the moment I feel quite optimistic about the Corona situation with the news that the figures show the vaccine is working well. I feel quite hopeful for the future and that life will feel a little more 'normal' soon. I am eager to start making plans for myself and my family to have days out and enjoy life again. I'm feeling a little anxious at the same time as I am worried that we might have to endure more lockdowns and restrictions if the figures start going in the wrong direction again. I do feel that life will return to normal but I think this may take longer than we all hope.
7,9,Anxiety,7,5,8,8,8,1,2,2,"I feel worried and anxious although a sense of relief that having seen other european countries having reached peak that we will to. I know that this wont last forever and i cant control things outside my home but i can control my family and what is in my power to get through the worst. i feel the fear of the unknown is what is making it worse, not being able to plan things. i feel worried that when things to start to return to normal that im not sure how i will feel. i just want to be able to fast forward time when this wont consume my thoughts 24/7",6,Anger,8,6,4,6,8,2,3,4,"i feel like this country cannot keep people locked down until june when the nhs isnt under as much pressure. it is ruining the economy and people health is at more risk of other problems rather than covid. i feel the unvaccinated people shouldnt also be penalised for the decision they make to not get the vaccine. i think its wrong to be kept locked down now when cases are so low. people need to learn to live with the virus, we wont eradicate it and we cant stay inside waiting for an impossible scenario"
8,7,Anxiety,1,1,2,7,4,1,1,1,"I am confused, there are conflicting opinions from different sources about the best way to handle things. I am sad, mainly for others who are suffering greater hardship that me, but also for myself. I am missing my family and friends, I worry for them. I am anxious about the outcome, not only in terms of the health implications, but also for the economic future of the world. I also feel proud of the way the uk government are handling the crisis, and pleased that the vast majority of citizens who are complying with the new rules. ",6,Relaxation,1,1,1,1,1,5,8,1,"I am happy because I have had my first vaccination, and that the vaccination rollout is going well, but I am still concerned about many things - the economy of the UK and the world as a whole - children's education - people's mental health. I feel in a constant state of limbo, always waiting for the next announcement or development. I feel unable to make any long term plans or decisions. I think that the government is doing as well as they can, there are no right answers in this situation, only a choice of least wrong ones."
9,7,Anxiety,4,2,6,8,4,1,2,1,"After resigning myself to the lockdown situation, I planned to do my best for my family and myself by self isolating and felt that was the right thing to do,

As a result, I have been frustrated with monitoring news about other people, and seeing how they have not adhered to the recommendations of isolation - for the good of themselves and others. This has left me feeling frustrated.

All in all, I feel drained, anxious and have negative feelings for the near future, especially as I have given the situation some thought and can see some illogical reasoning going on, such as distanving musct go ahead but the governement not doing anything to distance key workers when they have to travel by public transport.",6,Anger,6,3,4,4,4,2,2,6,"I have good feelings of my local area and country as a whole, due to the high take up of the vaccine.

I am however dismayed by mixed messages given by government rules, such as not allowing travel .locally, but allowing flights to different countries.

On the whole, I have glimmer of hope and start seeing light at the end of the tunnel, as far as lock-down goes.

I have personal hopes increased especially, as I have recently received my vaccination, and was happy to see a high turnout for the vaccination when I went to receive mine."
10,9,Anxiety,2,1,9,9,6,2,4,1,"I am 65 but have not left the house for 3 weeks apart from a walk.   I am finding the whole thing frightening and scary,  as what will happen when we are all allowed out of lockdown,  will it still be around and am I likely to catch it.  Now Boris Johnson is very poorly it has made me very jittery poor man,  brings home how anybody can be affected and he was saying eariler he had only mild symptons yet a week later he is in ICU.   I wake up in the mornings and realise this is not all a dream just the reality of 2020 I just hope me and my family get through this.",8,Anxiety,3,3,6,8,5,7,7,5,"I am anxious that when things start lifting that  cases will go up again,  already people are breaking the lockdown rules which annoys me.  I and my family have obayed the lockdown rules and I have not left my home since christmas apart from getting vaccinated.  I am lucky living in the countryside we have walks around us so easy to stay local for exercise. I don't want to go shopping so have everything delivered at the moment including groceries.  I am proud to be able to say we have stayed safe."
